Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Matches
1,Adrián\Adrian,es ESP,GK,Liverpool,32,1987,11,9,873,10,1.03,28,17,.643,9,0,0,2,22.2,0,0,0,0,Matches
2,Alisson\Alisson,br BRA,GK,Liverpool,26,1992,20,20,1734,11,0.57,56,45,.804,18,1,1,10,50.0,0,0,0,0,Matches
3,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,24,1994,25,25,2250,32,1.28,71,43,.577,13,4,8,6,24.0,2,2,0,0,Matches
4,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Manchester City,36,1983,4,3,346,7,1.82,15,8,.533,2,0,1,1,33.3,0,0,0,0,Matches
5,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,37,1981,4,4,360,7,1.75,15,9,.533,1,2,1,0,0.0,0,0,0,0,Matches
6,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,30,1989,29,29,2610,41,1.41,152,111,.730,9,8,12,9,31.0,0,0,0,0,Matches
7,Ederson\Ederson,br BRA,GK,Manchester City,25,1993,25,25,2171,24,0.99,71,48,.690,16,3,6,9,36.0,2,2,0,0,Matches
8,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,34,1985,16,16,1309,22,1.51,62,43,.677,5,4,7,4,25.0,3,2,1,0,Matches
9,Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Norwich City,30,1988,1,1,22,1,4.09,1,1,1.000,0,0,1,0,0.0,1,1,0,0,Matches
10,Ben Foster\Ben-Foster,eng ENG,GK,Watford,36,1983,29,29,2610,44,1.52,121,82,.686,6,9,14,9,31.0,6,6,0,0,Matches
11,Paulo Gazzaniga\Paulo-Gazzaniga,ar ARG,GK,Tottenham,27,1992,18,17,1612,26,1.45,79,56,.709,5,5,7,2,11.8,4,3,1,0,Matches
12,David de Gea\David-de-Gea,es ESP,GK,Manchester Utd,28,1990,29,29,2610,30,1.03,101,72,.713,12,9,8,8,27.6,1,1,0,0,Matches
