Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Att,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Adrián\Adrian,es ESP,GK,Liverpool,32,1987,9.7,10,0,1,1,0,8.4,0.30,-1.6,-0.16,60,142,42.3,246,49,44.3,38.3,68,48.5,40.4,91,8,8.8,50,5.15,13.3,Matches
2,Alisson\Alisson,br BRA,GK,Liverpool,26,1992,19.3,11,0,0,1,0,15.6,0.28,+4.6,+0.24,101,190,53.2,525,91,26.5,32.4,126,40.5,39.9,143,10,7.0,94,4.88,16.9,Matches
3,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,24,1994,25.0,32,2,0,6,2,25.9,0.34,-4.1,-0.16,109,263,41.4,668,104,28.7,32.3,153,46.4,40.7,177,13,7.3,92,3.68,16.4,Matches
4,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Manchester City,36,1983,3.8,7,0,0,0,0,4.2,0.28,-2.8,-0.73,19,47,40.4,104,13,27.9,31.5,28,64.3,48.2,35,3,8.6,10,2.60,12.4,Matches
5,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,37,1981,4.0,7,0,0,3,1,5.5,0.36,-0.5,-0.13,23,59,39.0,103,10,45.6,35.7,22,54.5,42.5,18,0,0.0,15,3.75,12.8,Matches
6,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,30,1989,29.0,41,0,1,9,1,48.7,0.33,+8.7,+0.30,234,607,38.6,564,84,65.1,49.0,269,89.2,64.8,291,16,5.5,136,4.69,12.4,Matches
7,Ederson\Ederson,br BRA,GK,Manchester City,25,1993,24.1,24,2,1,4,1,23.1,0.31,+0.1,0.00,87,161,54.0,579,114,22.5,30.3,93,33.3,33.9,121,10,8.3,94,3.90,18.3,Matches
8,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,34,1985,14.5,22,2,0,2,1,21.1,0.30,+0.1,+0.01,140,327,42.8,295,56,72.2,50.9,118,96.6,66.4,149,7,4.7,96,6.60,11.6,Matches
9,Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Norwich City,30,1988,0.2,1,1,0,0,0,1.3,0.31,+0.3,+1.17,1,3,33.3,7,2,42.9,29.7,3,0.0,16.0,4,0,0.0,1,4.09,7.0,Matches
10,Ben Foster\Ben-Foster,eng ENG,GK,Watford,36,1983,29.0,44,6,2,5,3,44.3,0.34,+3.3,+0.11,246,775,31.7,707,90,78.5,54.6,232,94.8,68.9,295,30,10.2,159,5.48,15.3,Matches
11,Paulo Gazzaniga\Paulo-Gazzaniga,ar ARG,GK,Tottenham,27,1992,17.9,26,3,1,2,1,25.3,0.29,+0.3,+0.01,81,273,29.7,376,58,45.7,38.9,140,72.1,58.0,168,9,5.4,68,3.80,14.2,Matches
12,David de Gea\David-de-Gea,es ESP,GK,Manchester Utd,28,1990,29.0,30,1,1,7,1,28.9,0.29,-0.1,0.00,94,255,36.9,523,121,35.6,35.4,193,35.8,36.4,222,8,3.6,111,3.83,13.5,Matches
13,Vicente Guaita\Vicente-Guaita,es ESP,GK,Crystal Palace,32,1987,27.0,28,0,0,5,2,34.1,0.32,+8.1,+0.30,178,547,32.5,618,120,58.7,45.3,219,84.0,62.8,266,22,8.3,129,4.78,13.5,Matches
14,Angus Gunn\Angus-Gunn,eng ENG,GK,Southampton,23,1996,10.0,25,2,1,1,0,19.0,0.33,-6.0,-0.60,46,190,24.2,177,24,68.9,50.4,79,86.1,60.7,80,6,7.5,37,3.70,16.7,Matches
15,Tom Heaton\Tom-Heaton,eng ENG,GK,Aston Villa,33,1986,19.9,35,3,1,7,1,34.9,0.34,+0.9,+0.05,129,384,33.6,418,95,57.7,45.9,196,73.0,56.6,226,17,7.5,87,4.36,11.8,Matches
16,Dean Henderson\Dean-Henderson,eng ENG,GK,Sheffield Utd,22,1997,27.0,22,0,0,2,0,28.5,0.32,+6.5,+0.24,179,640,28.0,574,74,78.0,58.9,200,96.0,76.1,203,16,7.9,140,5.19,13.7,Matches
17,Wayne Hennessey\Wayne-Hennessey,wal WAL,GK,Crystal Palace,32,1987,2.0,4,0,0,2,0,4.5,0.30,+0.5,+0.23,22,56,39.3,43,4,81.4,55.0,23,91.3,69.6,22,3,13.6,3,1.50,13.7,Matches
18,Tim Krul\Tim-Krul,nl NED,GK,Norwich City,31,1988,27.0,45,3,1,10,2,46.9,0.33,+3.9,+0.15,182,536,34.0,869,136,46.8,40.9,226,57.1,46.4,285,22,7.7,120,4.44,14.0,Matches
19,Bernd Leno\Bernd-Leno,de GER,GK,Arsenal,27,1992,28.0,36,5,0,6,0,42.2,0.27,+6.2,+0.22,89,306,29.1,687,168,28.4,32.0,241,46.1,40.7,266,18,6.8,129,4.61,13.6,Matches
20,Hugo Lloris\Hugo-Lloris,fr FRA,GK,Tottenham,32,1986,11.1,14,1,0,1,1,19.7,0.31,+6.7,+0.61,69,155,44.5,256,56,42.6,37.4,81,56.8,42.2,90,9,10.0,51,4.60,11.8,Matches
21,David Martin\David-Martin,eng ENG,GK,West Ham,33,1986,4.8,6,0,0,1,0,6.9,0.35,+0.9,+0.18,39,106,36.8,80,10,80.0,55.3,44,95.5,65.4,55,1,1.8,22,4.55,9.0,Matches
