Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,28,1990,21.0,42,2.00,24,16,1,1,0,1,0.05,0,1,0,0,0,0,Matches
2,Max Aarons\Max-Aarons,eng ENG,DF,Norwich City,19,2000,27.0,49,1.81,37,2,3,3,4,3,0.11,1,1,0,0,1,0,Matches
3,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,21,1997,21.6,43,1.99,30,0,6,5,2,9,0.42,4,0,3,1,1,0,Matches
4,Che Adams\Che-Adams,eng ENG,FW,Southampton,23,1996,8.1,13,1.61,10,0,1,0,2,3,0.37,2,0,0,0,1,0,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,32,1987,9.7,2,0.21,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,31,1988,15.6,48,3.08,27,0,9,8,4,6,0.39,4,0,1,1,0,0,Matches
7,Albian Ajeti\Albian-Ajeti,ch SUI,MFFW,West Ham,22,1997,1.4,2,1.42,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
8,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,24,1995,22.4,11,0.49,6,0,1,3,1,1,0.04,1,0,0,0,0,0,Matches
9,Marc Albrighton\Marc-Albrighton,eng ENG,MF,Leicester City,29,1989,5.3,17,3.21,16,0,1,0,0,5,0.94,5,0,0,0,0,0,Matches
10,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,30,1989,26.9,19,0.71,18,0,0,1,0,2,0.07,2,0,0,0,0,0,Matches
11,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,20,1998,28.3,129,4.55,77,42,3,5,1,22,0.78,12,7,0,2,0,1,Matches
12,Alisson\Alisson,br BRA,GK,Liverpool,26,1992,19.3,3,0.16,3,0,0,0,0,1,0.05,1,0,0,0,0,0,Matches
13,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,23,1996,19.6,51,2.60,37,1,9,2,2,12,0.61,5,0,5,2,0,0,Matches
14,Miguel Almirón\Miguel-Almiron,py PAR,FWMF,Newcastle Utd,25,1994,26.4,58,2.19,40,0,7,4,7,1,0.04,1,0,0,0,0,0,Matches
