Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,28,1990,21.0,0,0,0,3,5,2,67,35,28,0,0,1,174,9,12,42.9,Matches
2,Max Aarons\Max-Aarons,eng ENG,DF,Norwich City,19,2000,27.0,6,0,0,21,38,1,56,21,24,1,0,0,212,14,33,29.8,Matches
3,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,21,1997,21.6,2,0,0,16,21,20,10,4,8,1,0,1,82,57,94,37.7,Matches
4,Che Adams\Che-Adams,eng ENG,FW,Southampton,23,1996,8.1,0,0,0,13,6,7,8,2,1,1,0,0,52,18,56,24.3,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,32,1987,9.7,1,0,0,0,1,0,0,0,0,0,0,0,47,0,0,,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,31,1988,15.6,1,0,0,8,8,6,10,3,5,1,0,0,60,2,14,12.5,Matches
7,Albian Ajeti\Albian-Ajeti,ch SUI,MFFW,West Ham,22,1997,1.4,0,0,0,6,0,2,0,1,0,0,0,0,4,1,9,10.0,Matches
8,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,24,1995,22.4,1,0,0,8,12,3,4,29,7,0,0,0,207,49,45,52.1,Matches
9,Marc Albrighton\Marc-Albrighton,eng ENG,MF,Leicester City,29,1989,5.3,1,0,0,6,8,1,39,5,6,0,1,0,63,2,2,50.0,Matches
10,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,30,1989,26.9,4,0,0,16,4,1,8,23,20,0,0,1,280,61,47,56.5,Matches
11,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,20,1998,28.3,4,0,0,20,8,1,308,36,20,0,0,0,289,13,29,31.0,Matches
12,Alisson\Alisson,br BRA,GK,Liverpool,26,1992,19.3,0,1,0,1,1,0,0,1,0,0,0,0,102,0,0,,Matches
13,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,23,1996,19.6,2,0,0,11,32,6,7,13,28,0,0,0,151,13,26,33.3,Matches
14,Miguel Almirón\Miguel-Almiron,py PAR,FWMF,Newcastle Utd,25,1994,26.4,5,0,0,24,50,20,33,26,25,0,0,0,181,8,30,21.1,Matches
15,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,28,1990,9.5,3,0,0,9,8,2,31,14,12,1,0,0,120,25,21,54.3,Matches
16,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,20,1998,13.1,1,0,0,17,18,3,9,13,23,0,0,0,137,14,11,56.0,Matches
17,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,DFMF,Norwich City,26,1993,8.4,1,0,0,8,2,0,1,17,7,0,1,0,75,15,14,51.7,Matches
