Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,28,1990,21.0,1186,901,285,42,0,182,25,67,31,19,11,0,700,244,242,755,194,18,211,3,935,6,13,26,35,Matches
2,Max Aarons\Max-Aarons,eng ENG,DF,Norwich City,19,2000,27.0,1277,1021,256,20,1,223,5,56,0,0,0,0,771,297,209,172,828,32,236,1,1005,0,22,19,52,Matches
3,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,21,1997,21.6,357,314,43,0,0,127,5,10,0,0,0,0,221,71,65,27,262,17,0,16,250,1,4,7,22,Matches
4,Che Adams\Che-Adams,eng ENG,FW,Southampton,23,1996,8.1,171,166,5,0,2,44,5,8,0,0,0,0,108,39,24,14,135,9,0,3,118,0,8,8,11,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,32,1987,9.7,314,219,95,27,0,40,12,0,0,0,0,0,150,24,140,31,217,1,0,49,227,0,9,0,1,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,31,1988,15.6,350,332,18,1,5,88,1,10,0,0,0,0,262,67,21,40,288,10,1,9,271,0,4,11,13,Matches
7,Albian Ajeti\Albian-Ajeti,ch SUI,MFFW,West Ham,22,1997,1.4,18,17,1,0,0,5,0,0,0,0,0,0,6,8,4,2,12,3,0,0,15,0,0,0,0,Matches
8,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,24,1995,22.4,964,918,46,26,1,127,12,4,0,0,0,0,687,118,159,682,166,81,20,0,853,2,8,4,11,Matches
9,Marc Albrighton\Marc-Albrighton,eng ENG,MF,Leicester City,29,1989,5.3,297,286,11,0,1,53,16,39,2,0,2,0,172,51,74,36,240,9,9,2,204,0,8,6,17,Matches
10,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,30,1989,26.9,1637,1563,74,65,6,181,58,8,0,0,0,0,1066,168,403,296,1211,86,9,7,1363,9,29,9,9,Matches
11,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,20,1998,28.3,2539,2016,523,71,4,360,169,308,132,36,62,4,1199,466,874,232,1906,66,320,6,1803,9,68,33,99,Matches
12,Alisson\Alisson,br BRA,GK,Liverpool,26,1992,19.3,651,486,165,39,1,102,15,0,0,0,0,0,414,56,181,35,493,1,0,91,554,2,13,2,0,Matches
13,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,23,1996,19.6,752,695,57,9,6,184,8,7,4,0,0,1,545,132,75,33,656,27,17,8,584,5,8,16,32,Matches
14,Miguel Almirón\Miguel-Almiron,py PAR,FWMF,Newcastle Utd,25,1994,26.4,655,644,11,2,1,170,15,33,1,0,1,0,463,104,88,566,49,24,7,5,488,3,12,27,31,Matches
15,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,28,1990,9.5,694,585,109,5,0,164,13,31,1,1,0,0,415,140,139,491,55,31,103,0,572,1,6,4,19,Matches
16,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,20,1998,13.1,664,609,55,5,1,135,9,9,0,0,0,0,471,133,60,30,540,33,50,1,564,1,5,15,16,Matches
17,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,DFMF,Norwich City,26,1993,8.4,361,354,7,4,0,68,5,1,0,0,0,0,285,35,41,23,314,17,2,1,310,1,4,7,5,Matches
18,Felipe Anderson\Felipe-Anderson,br BRA,MFFW,West Ham,26,1993,15.7,893,863,30,9,3,180,19,35,5,3,1,0,607,166,120,118,716,31,12,12,692,3,14,28,38,Matches
19,Florin Andone\Florin-Andone,ro ROU,MFFW,Brighton,26,1993,0.8,12,11,1,0,0,5,0,0,1,0,0,0,8,2,2,2,6,2,0,1,8,0,0,1,1,Matches
20,Angeliño\Angelino,es ESP,DF,Manchester City,22,1997,4.7,426,377,49,3,0,70,7,42,0,0,0,0,267,78,81,342,15,18,46,1,335,1,9,5,14,Matches
21,Faustino Anjorin\Faustino-Anjorin,eng ENG,FW,Chelsea,17,2001,0.2,7,7,0,0,0,1,0,0,0,0,0,0,7,0,0,0,7,0,0,0,7,0,0,0,0,Matches
22,Michail Antonio\Michail-Antonio,eng ENG,FWMF,West Ham,29,1990,11.4,290,273,17,1,4,98,11,33,0,0,0,0,136,77,77,27,200,19,10,9,180,4,6,3,19,Matches
23,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,27,1992,12.7,402,385,17,0,0,116,5,19,0,0,0,0,240,103,59,84,279,17,14,2,301,2,7,13,22,Matches
24,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,24,1994,25.0,821,624,197,44,0,107,18,0,0,0,0,0,522,50,249,122,587,2,0,104,652,4,13,9,1,Matches
25,Christian Atsu\Christian-Atsu,gh GHA,FWMF,Newcastle Utd,27,1992,8.1,204,195,9,2,1,43,7,16,6,2,2,0,144,20,40,165,25,9,1,0,160,2,5,4,6,Matches
26,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,30,1989,25.6,674,643,31,0,0,186,8,70,1,0,0,0,427,131,116,77,566,15,2,2,468,1,19,20,43,Matches
27,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,26,1992,21.3,1179,980,199,6,1,209,12,97,0,0,0,0,659,303,217,139,763,60,193,2,907,2,19,23,45,Matches
28,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,27,1991,26.6,627,600,27,2,2,200,9,18,1,0,0,0,423,122,82,33,506,27,8,12,502,3,8,16,27,Matches
29,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,29,1989,26.9,2056,1733,323,17,1,333,31,81,0,0,0,0,1215,406,435,205,1417,79,306,7,1633,5,30,31,75,Matches
30,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,25,1994,1.1,36,36,0,0,0,6,0,0,0,0,0,0,20,8,8,7,21,4,0,1,30,0,0,0,1,Matches
31,Leighton Baines\Leighton-Baines,eng ENG,DF,Everton,34,1984,3.7,175,130,45,5,0,18,8,26,10,4,1,5,91,36,48,119,15,7,30,0,137,2,0,1,9,Matches
32,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,27,1991,12.0,451,435,16,11,1,78,20,1,0,0,0,0,271,61,119,64,334,24,5,3,337,3,8,8,10,Matches
33,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,26,1993,28.0,1144,913,231,4,0,227,16,91,1,1,0,0,558,275,311,38,809,50,226,7,854,4,23,12,62,Matches
34,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,34,1985,14.0,550,389,161,10,1,58,13,23,0,0,0,0,186,111,253,37,316,35,151,1,357,4,19,6,20,Matches
35,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,25,1993,7.5,397,392,5,1,2,124,14,7,3,1,1,0,307,51,39,52,331,7,1,1,346,1,2,8,6,Matches
36,Ashley Barnes\Ashley-Barnes,at AUT,FW,Burnley,29,1989,15.1,253,244,9,0,1,97,1,5,0,0,0,0,123,59,71,46,142,22,1,8,155,1,10,9,13,Matches
37,Harvey Barnes\Harvey-Barnes,eng ENG,MF,Leicester City,21,1997,19.1,585,583,2,1,2,157,6,34,0,0,0,0,410,95,80,87,457,14,1,8,444,3,9,19,27,Matches
38,Chris Basham\Chris-Basham,eng ENG,DF,Sheffield Utd,31,1988,27.1,1094,956,138,15,0,212,25,35,0,0,0,0,547,200,347,86,729,111,123,5,792,2,35,13,24,Matches
39,Borja Bastón\Borja-Baston,es ESP,MFFW,Aston Villa,26,1992,0.2,5,5,0,0,0,2,0,0,0,0,0,0,2,1,2,0,4,0,0,0,4,0,0,0,0,Matches
40,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Chelsea,25,1993,2.5,76,70,6,0,0,16,2,0,0,0,0,0,53,14,9,23,48,0,0,1,61,0,0,3,3,Matches
41,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,23,1996,27.0,1075,1023,52,18,0,141,16,1,0,0,0,0,667,124,284,164,719,112,34,4,851,3,19,8,12,Matches
42,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,24,1995,6.9,418,342,76,11,1,53,3,20,0,0,0,0,268,88,62,30,306,13,65,0,341,1,3,8,15,Matches
43,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Wolves,29,1990,6.7,239,224,15,3,0,41,8,4,0,0,0,0,134,26,79,14,180,17,12,2,185,1,5,3,1,Matches
44,Nabil Bentaleb\Nabil-Bentaleb,dz ALG,MF,Newcastle Utd,24,1994,3.0,136,130,6,6,0,22,5,0,0,0,0,0,95,24,17,110,15,6,0,2,118,0,2,2,3,Matches
45,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,28,1990,10.2,241,231,10,0,2,98,3,4,0,0,0,0,111,64,66,17,127,29,0,7,143,0,3,7,10,Matches
