Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,28,1990,21.0,935,1186,78.8,16677,7152,9,39,23.1,769,884,87.0,157,263,59.7,0,1.8,-1.8,24,67,20,4,159,Matches
2,Max Aarons\Max-Aarons,eng ENG,DF,Norwich City,19,2000,27.0,1005,1277,78.7,15343,5307,24,72,33.3,876,1002,87.4,105,203,51.7,1,3.5,-2.5,20,36,26,11,104,Matches
3,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,21,1997,21.6,250,357,70.0,3678,756,23,48,47.9,193,263,73.4,34,46,73.9,3,2.3,+0.7,17,16,5,0,32,Matches
4,Che Adams\Che-Adams,eng ENG,FW,Southampton,23,1996,8.1,118,171,69.0,1837,403,8,18,44.4,97,126,77.0,13,27,48.1,2,0.9,+1.1,8,9,1,0,12,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,32,1987,9.7,227,314,72.3,6824,3820,2,4,50.0,107,108,99.1,118,202,58.4,0,0.0,0.0,0,3,0,0,0,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,31,1988,15.6,271,350,77.4,3585,722,15,34,44.1,239,294,81.3,17,22,77.3,3,2.5,+0.5,16,11,20,0,33,Matches
7,Albian Ajeti\Albian-Ajeti,ch SUI,MFFW,West Ham,22,1997,1.4,15,18,83.3,152,8,1,1,100.0,14,17,82.4,0,0,,0,0.1,-0.1,2,0,0,0,0,Matches
8,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,24,1995,22.4,853,964,88.5,17538,5869,6,15,40.0,602,651,92.5,245,298,82.2,1,0.6,+0.4,4,51,8,0,51,Matches
9,Marc Albrighton\Marc-Albrighton,eng ENG,MF,Leicester City,29,1989,5.3,204,297,68.7,3686,1396,4,20,20.0,159,196,81.1,41,81,50.6,3,1.2,+1.8,10,18,13,5,38,Matches
10,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,30,1989,26.9,1363,1637,83.3,32454,8561,9,22,40.9,851,908,93.7,503,707,71.1,2,0.9,+1.1,11,120,17,1,80,Matches
