Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,28,1990,21.0,1398,65,417,670,390,41,1113,11,23,47.8,11,2,751,4175,2235,826,765,92.6,14,13,Matches
2,Max Aarons\Max-Aarons,eng ENG,DF,Norwich City,19,2000,27.0,1628,125,561,712,490,43,1382,36,75,48.0,41,1,1008,7329,4355,1072,952,88.8,30,42,Matches
3,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,21,1997,21.6,641,29,52,311,301,140,599,19,33,57.6,20,0,381,2038,1029,943,432,45.8,64,42,Matches
4,Che Adams\Che-Adams,eng ENG,FW,Southampton,23,1996,8.1,284,8,25,135,143,35,279,10,18,55.6,10,1,200,1179,530,457,199,43.5,34,19,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,32,1987,9.7,338,300,338,0,0,0,244,0,0,,0,0,163,639,356,155,154,99.4,0,0,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,31,1988,15.6,548,2,18,198,371,148,527,27,45,60.0,28,2,409,2453,1356,753,428,56.8,24,39,Matches
7,Albian Ajeti\Albian-Ajeti,ch SUI,MFFW,West Ham,22,1997,1.4,32,0,1,9,23,8,31,0,0,,0,0,16,75,16,62,23,37.1,5,3,Matches
8,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,24,1995,22.4,1239,234,769,466,78,30,1193,4,4,100.0,4,0,681,4022,2153,761,727,95.5,6,4,Matches
9,Marc Albrighton\Marc-Albrighton,eng ENG,MF,Leicester City,29,1989,5.3,370,6,57,155,184,13,359,7,19,36.8,9,1,268,1682,799,306,256,83.7,6,10,Matches
10,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,30,1989,26.9,1953,307,1048,898,108,17,1880,0,2,0.0,0,0,1190,5773,2723,1317,1288,97.8,3,2,Matches
11,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,20,1998,28.3,2856,96,695,1342,998,55,2335,22,46,47.8,25,4,1709,7872,4873,1904,1802,94.6,28,20,Matches
12,Alisson\Alisson,br BRA,GK,Liverpool,26,1992,19.3,689,581,685,5,0,0,524,0,0,,0,0,381,1530,803,343,340,99.1,1,0,Matches
13,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,23,1996,19.6,1064,35,165,547,432,91,1009,32,63,50.8,36,7,703,4298,2317,1036,720,69.5,43,54,Matches
14,Miguel Almirón\Miguel-Almiron,py PAR,FWMF,Newcastle Utd,25,1994,26.4,1000,37,256,405,464,71,990,42,85,49.4,50,4,767,7297,4186,1007,668,66.3,49,44,Matches
15,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,28,1990,9.5,824,19,217,361,296,43,715,5,9,55.6,5,0,524,2823,1578,573,507,88.5,11,15,Matches
16,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,20,1998,13.1,838,31,215,406,272,44,787,33,50,66.0,35,4,618,3821,2140,638,557,87.3,20,28,Matches
17,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,DFMF,Norwich City,26,1993,8.4,470,107,329,143,14,4,464,2,3,66.7,2,0,253,1003,474,297,289,97.3,1,1,Matches
18,Felipe Anderson\Felipe-Anderson,br BRA,MFFW,West Ham,26,1993,15.7,1113,24,155,591,497,67,1089,65,96,67.7,69,5,892,7147,4447,998,852,85.4,32,32,Matches
19,Florin Andone\Florin-Andone,ro ROU,MFFW,Brighton,26,1993,0.8,29,3,4,12,16,7,28,2,4,50.0,2,0,17,218,150,33,16,48.5,5,2,Matches
20,Angeliño\Angelino,es ESP,DF,Manchester City,22,1997,4.7,477,16,98,199,214,10,429,5,8,62.5,5,2,321,1545,942,361,343,95.0,3,4,Matches
21,Faustino Anjorin\Faustino-Anjorin,eng ENG,FW,Chelsea,17,2001,0.2,12,0,1,5,6,2,12,1,1,100.0,1,0,10,67,40,11,8,72.7,0,1,Matches
22,Michail Antonio\Michail-Antonio,eng ENG,FWMF,West Ham,29,1990,11.4,496,8,32,180,324,74,480,49,72,68.1,49,0,369,2932,1750,674,361,53.6,49,29,Matches
23,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,27,1992,12.7,593,27,109,274,247,30,576,19,36,52.8,20,1,389,2822,1512,500,376,75.2,26,23,Matches
24,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,24,1994,25.0,856,757,852,4,0,0,661,0,0,,0,0,517,1865,1077,483,483,100.0,0,0,Matches
25,Christian Atsu\Christian-Atsu,gh GHA,FWMF,Newcastle Utd,27,1992,8.1,327,12,80,129,157,20,319,19,40,47.5,21,1,252,1947,1154,316,212,67.1,21,19,Matches
26,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,30,1989,25.6,935,20,112,380,510,133,903,19,37,51.4,23,0,665,4885,3071,1165,703,60.3,41,33,Matches
27,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,26,1992,21.3,1481,80,422,625,501,39,1285,43,64,67.2,43,7,872,4094,2294,912,803,88.0,28,19,Matches
28,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,27,1991,26.6,1021,23,135,504,474,105,996,59,95,62.1,61,2,744,5763,2894,1280,718,56.1,79,74,Matches
29,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,29,1989,26.9,2389,88,715,1136,632,79,2071,13,19,68.4,15,0,1417,4881,2736,1577,1475,93.5,19,10,Matches
30,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,25,1994,1.1,47,10,24,25,0,0,47,1,1,100.0,1,0,24,104,62,21,21,100.0,0,1,Matches
31,Leighton Baines\Leighton-Baines,eng ENG,DF,Everton,34,1984,3.7,218,22,54,75,95,1,172,1,2,50.0,2,0,112,439,257,121,111,91.7,3,3,Matches
32,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,27,1991,12.0,602,85,320,287,27,16,586,0,0,,0,0,294,1667,924,326,311,95.4,2,0,Matches
33,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,26,1993,28.0,1444,77,314,514,683,47,1218,30,52,57.7,32,0,857,5516,2795,922,769,83.4,24,27,Matches
34,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,34,1985,14.0,712,66,200,388,155,6,554,4,6,66.7,4,0,283,1608,827,307,284,92.5,5,5,Matches
35,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,25,1993,7.5,521,10,55,265,241,35,514,21,30,70.0,22,0,433,2494,1194,457,411,89.9,15,29,Matches
36,Ashley Barnes\Ashley-Barnes,at AUT,FW,Burnley,29,1989,15.1,435,15,45,195,213,55,426,11,17,64.7,13,0,257,1055,452,706,298,42.2,41,20,Matches
37,Harvey Barnes\Harvey-Barnes,eng ENG,MF,Leicester City,21,1997,19.1,825,12,84,330,481,119,823,32,68,47.1,37,3,645,5205,3593,903,665,73.6,39,31,Matches
38,Chris Basham\Chris-Basham,eng ENG,DF,Sheffield Utd,31,1988,27.1,1470,188,595,679,269,34,1337,21,24,87.5,21,0,709,3931,2063,729,658,90.3,11,11,Matches
39,Borja Bastón\Borja-Baston,es ESP,MFFW,Aston Villa,26,1992,0.2,7,1,1,5,3,1,7,0,0,,0,0,5,30,19,7,4,57.1,1,0,Matches
40,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Chelsea,25,1993,2.5,120,2,13,54,61,32,114,4,8,50.0,6,0,84,522,300,181,87,48.1,10,4,Matches
