Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,28,1990,21.0,3,1,1,21,3,3,14.3,1.00,0.14,0.10,0.67,1.8,1.0,0.05,+1.2,+1.0,Matches
2,Max Aarons\Max-Aarons,eng ENG,DF,Norwich City,19,2000,27.0,0,0,0,13,3,0,23.1,0.48,0.11,0.00,0.00,0.5,0.5,0.04,-0.5,-0.5,Matches
3,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,21,1997,21.6,13,0,0,73,30,0,41.1,3.38,1.39,0.18,0.43,12.2,12.2,0.17,+0.8,+0.8,Matches
4,Che Adams\Che-Adams,eng ENG,FW,Southampton,23,1996,8.1,0,0,0,19,2,0,10.5,2.36,0.25,0.00,0.00,1.9,1.9,0.10,-1.9,-1.9,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,32,1987,9.7,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,31,1988,15.6,16,2,3,72,24,0,33.3,4.63,1.54,0.19,0.58,13.3,11.0,0.15,+2.7,+3.0,Matches
7,Albian Ajeti\Albian-Ajeti,ch SUI,MFFW,West Ham,22,1997,1.4,0,0,0,2,0,0,0.0,1.42,0.00,0.00,,0.1,0.1,0.06,-0.1,-0.1,Matches
8,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,24,1995,22.4,2,0,0,21,6,0,28.6,0.94,0.27,0.10,0.33,2.3,2.3,0.11,-0.3,-0.3,Matches
9,Marc Albrighton\Marc-Albrighton,eng ENG,MF,Leicester City,29,1989,5.3,0,0,0,7,2,0,28.6,1.32,0.38,0.00,0.00,0.3,0.3,0.05,-0.3,-0.3,Matches
10,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,30,1989,26.9,1,0,0,12,4,0,33.3,0.45,0.15,0.08,0.25,0.8,0.8,0.06,+0.2,+0.2,Matches
11,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,20,1998,28.3,2,0,0,36,8,7,22.2,1.27,0.28,0.06,0.25,2.2,2.2,0.06,-0.2,-0.2,Matches
12,Alisson\Alisson,br BRA,GK,Liverpool,26,1992,19.3,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
