Squad,# Pl,MP,Min,Mn/MP,Min%,Starts,Mn/Start,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
Arsenal,27,28,2520,90,100,308,84,78,20,118,1.43,40,36,+4,+0.14,36.3,40.7,-4.4,-0.16
Aston Villa,28,28,2520,90,100,308,85,75,22,121,0.89,34,56,-22,-0.79,31.1,57.0,-25.9,-0.93
Bournemouth,25,29,2610,90,100,319,85,70,22,133,0.93,29,47,-18,-0.62,32.5,45.4,-12.8,-0.44
Brighton,24,29,2610,90,100,319,85,86,19,117,1.00,32,40,-8,-0.28,34.2,40.6,-6.4,-0.22
Burnley,21,29,2610,90,100,319,87,58,19,145,1.34,34,40,-6,-0.21,33.3,36.0,-2.8,-0.10
Chelsea,26,29,2610,90,100,319,85,81,20,121,1.66,51,39,+12,+0.41,50.3,28.1,+22.2,+0.76
Crystal Palace,24,29,2610,90,100,319,86,70,17,133,1.34,26,32,-6,-0.21,28.2,37.8,-9.6,-0.33
Everton,23,29,2610,90,100,319,84,84,22,119,1.28,37,46,-9,-0.31,41.5,37.0,+4.5,+0.15
Leicester City,21,29,2610,90,100,319,85,78,19,125,1.83,58,28,+30,+1.03,47.2,35.3,+11.8,+0.41
Liverpool,23,29,2610,90,100,319,86,85,14,118,2.83,66,21,+45,+1.55,56.2,29.1,+27.1,+0.93
Manchester City,22,28,2520,90,100,308,85,79,19,117,2.04,68,31,+37,+1.32,65.3,26.2,+39.1,+1.40
Manchester Utd,28,29,2610,90,100,319,86,82,15,121,1.55,44,30,+14,+0.48,44.3,29.4,+14.8,+0.51
Newcastle Utd,27,29,2610,90,100,319,85,80,20,123,1.21,25,41,-16,-0.55,25.3,45.7,-20.4,-0.70
Norwich City,26,29,2610,90,100,319,86,84,16,119,0.72,25,52,-27,-0.93,33.8,46.8,-13.0,-0.45
Sheffield Utd,22,28,2520,90,100,308,85,78,19,118,1.54,30,25,+5,+0.18,33.9,34.0,-0.1,0.00
Southampton,23,29,2610,90,100,319,85,83,17,119,1.17,35,52,-17,-0.59,39.8,40.7,-1.0,-0.03
Tottenham,29,29,2610,90,100,319,85,83,18,120,1.41,47,40,+7,+0.24,38.5,42.7,-4.2,-0.15
Watford,25,29,2610,90,100,319,85,81,20,122,0.93,27,44,-17,-0.59,34.1,43.8,-9.7,-0.33
West Ham,28,29,2610,90,100,319,85,80,21,123,0.93,35,50,-15,-0.52,33.1,53.3,-20.2,-0.70
Wolves,20,29,2610,90,100,319,86,69,18,134,1.48,41,34,+7,+0.24,38.9,27.9,+11.0,+0.38
